category,product_tier,price_band,customer_tier,market_region,optional_services,quantity,price,order_value,selected_products_count,delivery_lead_time_days,is_expedited_delivery,optional_services_count,optional_services_fee,requested_discount_percent,customer_avg_previous_discount,product_avg_previous_discount,customer_previous_transactions,tier_discount,tier_max_discount,recommended_discount_percent
FURNITURE,PREMIUM,PREMIUM,STANDARD,INTERNATIONAL,EXTENDED_WARRANTY,20,377.61,7552.2,1,27,0,1,235.41,2.02,3.8,4.86,11,5.0,12.0,7.25
SOFTWARE,ECONOMY,HIGH,STANDARD,INTERNATIONAL,NONE,1,78.23,78.23,2,2,1,0,0.0,2.61,2.31,6.1,3,5.0,12.0,2.76
SOFTWARE,STANDARD,HIGH,GOLD,DOMESTIC,EXTENDED_WARRANTY,5,77.15,385.75,1,18,0,1,119.92,8.76,14.19,8.53,8,12.0,24.0,15.11
SERVICES,PREMIUM,PREMIUM,PLATINUM,EUROPE,INSTALLATION,100,426.38,42638.0,5,27,0,1,194.42,14.74,18.06,5.96,8,16.0,30.0,23.58
FURNITURE,PREMIUM,PREMIUM,SILVER,EUROPE,WHITE_GLOVE,10,248.32,2483.2,4,24,0,2,490.78,13.87,9.86,7.99,4,8.0,18.0,9.46
SERVICES,ENTERPRISE,PREMIUM,GOLD,EUROPE,EXTENDED_WARRANTY,2,307.06,614.12,2,6,0,1,112.54,10.4,11.4,5.17,3,12.0,24.0,9.79
INDUSTRIAL,ECONOMY,HIGH,SILVER,EUROPE,EXTENDED_WARRANTY,50,80.74,4037.0,1,21,0,1,139.37,7.3,8.77,9.37,4,8.0,18.0,12.05
INDUSTRIAL,PREMIUM,PREMIUM,SILVER,DOMESTIC,EXTENDED_WARRANTY,2,159.27,318.54,3,21,0,1,141.2,9.56,8.05,9.53,8,8.0,18.0,9.89
SERVICES,PREMIUM,HIGH,SILVER,DOMESTIC,WHITE_GLOVE,1000,64.65,64650.0,1,21,0,2,110.51,13.36,7.36,8.4,6,8.0,18.0,15.51
INDUSTRIAL,PREMIUM,HIGH,GOLD,EUROPE,EXTENDED_WARRANTY,20,88.72,1774.4,1,14,0,1,96.55,7.97,11.7,5.89,9,12.0,24.0,11.49
FURNITURE,ECONOMY,PREMIUM,PLATINUM,INTERNATIONAL,EXTENDED_WARRANTY,5,368.14,1840.7,4,19,0,1,92.29,13.82,17.49,9.29,6,16.0,30.0,11.89
ELECTRONICS,ENTERPRISE,HIGH,GOLD,DOMESTIC,TRAINING_AND_SUPPORT,20,80.8,1616.0,1,22,0,1,227.47,13.47,10.9,5.83,8,12.0,24.0,9.36
SERVICES,PREMIUM,PREMIUM,GOLD,DOMESTIC,NONE,10,410.63,4106.3,1,8,0,0,0.0,5.43,10.04,7.24,6,12.0,24.0,11.42
OFFICE_SUPPLIES,ENTERPRISE,PREMIUM,SILVER,EUROPE,NONE,500,438.14,219070.0,2,19,0,0,0.0,13.63,7.21,7.35,7,8.0,18.0,10.47
OFFICE_SUPPLIES,ECONOMY,PREMIUM,GOLD,DOMESTIC,NONE,5,173.7,868.5,1,15,0,0,0.0,10.5,13.08,9.99,6,12.0,24.0,10.86
SOFTWARE,ENTERPRISE,PREMIUM,SILVER,EUROPE,WHITE_GLOVE,2,305.21,610.42,1,8,0,2,290.06,6.0,14.69,5.23,8,8.0,18.0,17.39
INDUSTRIAL,PREMIUM,HIGH,GOLD,EUROPE,WHITE_GLOVE,5,73.71,368.55,2,23,0,2,223.49,10.16,9.68,7.3,11,12.0,24.0,13.03
OFFICE_SUPPLIES,ENTERPRISE,PREMIUM,GOLD,DOMESTIC,WHITE_GLOVE,2,384.4,768.8,2,18,0,2,109.09,15.02,11.13,5.7,8,12.0,24.0,9.16
SOFTWARE,PREMIUM,PREMIUM,GOLD,DOMESTIC,NONE,100,232.18,23218.0,1,28,0,0,0.0,11.17,11.16,11.86,3,12.0,24.0,14.13
ELECTRONICS,ECONOMY,HIGH,STANDARD,DOMESTIC,EXTENDED_WARRANTY,20,80.83,1616.6,2,12,0,1,176.77,6.11,7.21,6.6,5,5.0,12.0,7.0
FURNITURE,STANDARD,PREMIUM,STANDARD,EUROPE,EXTENDED_WARRANTY,20,424.59,8491.8,4,25,0,1,139.28,8.25,2.12,7.23,9,5.0,12.0,5.66
FURNITURE,ENTERPRISE,PREMIUM,SILVER,DOMESTIC,NONE,1,317.91,317.91,1,18,0,0,0.0,9.02,10.29,4.92,5,8.0,18.0,6.07
FURNITURE,STANDARD,MEDIUM,SILVER,INTERNATIONAL,NONE,50,22.3,1115.0,2,7,0,0,0.0,2.7,10.16,7.71,5,8.0,18.0,5.81
OFFICE_SUPPLIES,ENTERPRISE,PREMIUM,GOLD,DOMESTIC,EXTENDED_WARRANTY,100,294.35,29435.0,4,18,0,1,145.9,15.0,11.67,6.16,9,12.0,24.0,14.34
ELECTRONICS,PREMIUM,PREMIUM,STANDARD,DOMESTIC,EXTENDED_WARRANTY,20,396.11,7922.2,3,27,0,1,79.13,0.39,2.71,9.13,9,5.0,12.0,5.05
OFFICE_SUPPLIES,STANDARD,HIGH,PLATINUM,DOMESTIC,NONE,2,95.68,191.36,1,29,0,0,0.0,17.89,13.79,6.62,3,16.0,30.0,15.09
INDUSTRIAL,STANDARD,PREMIUM,GOLD,DOMESTIC,NONE,1000,423.46,423460.0,2,30,0,0,0.0,15.74,13.57,6.02,11,12.0,24.0,14.16
OFFICE_SUPPLIES,PREMIUM,HIGH,STANDARD,DOMESTIC,EXTENDED_WARRANTY,20,53.38,1067.6,1,14,0,1,217.88,5.48,3.66,8.9,1,5.0,12.0,7.01
ELECTRONICS,STANDARD,HIGH,SILVER,DOMESTIC,NONE,1,108.48,108.48,3,3,1,0,0.0,9.29,6.71,9.6,7,8.0,18.0,1.0
ELECTRONICS,PREMIUM,PREMIUM,STANDARD,DOMESTIC,EXTENDED_WARRANTY,2,236.66,473.32,3,26,0,1,151.78,7.37,3.87,7.08,4,5.0,12.0,6.66
INDUSTRIAL,STANDARD,PREMIUM,STANDARD,EUROPE,EXTENDED_WARRANTY,1,299.08,299.08,1,20,0,1,238.21,5.28,8.81,9.02,8,5.0,12.0,10.14
ELECTRONICS,STANDARD,PREMIUM,PLATINUM,EUROPE,INSTALLATION,2,216.06,432.12,2,18,0,1,183.04,16.29,14.82,9.25,16,16.0,30.0,11.28
ELECTRONICS,STANDARD,PREMIUM,GOLD,DOMESTIC,NONE,5,253.02,1265.1,2,10,0,0,0.0,9.46,10.13,8.35,10,12.0,24.0,6.06
FURNITURE,STANDARD,PREMIUM,STANDARD,DOMESTIC,PREMIUM_SLA,1,352.21,352.21,1,26,0,2,442.45,2.62,7.12,4.31,9,5.0,12.0,7.38
INDUSTRIAL,ECONOMY,PREMIUM,STANDARD,EUROPE,NONE,1,495.79,495.79,1,4,0,0,0.0,6.01,7.76,8.28,4,5.0,12.0,5.95
HARDWARE,ECONOMY,PREMIUM,GOLD,EUROPE,EXTENDED_WARRANTY,5,221.49,1107.45,2,29,0,1,234.61,13.0,12.68,7.17,8,12.0,24.0,8.55
HARDWARE,ENTERPRISE,HIGH,GOLD,DOMESTIC,PREMIUM_SLA,50,60.69,3034.5,4,10,0,2,309.11,7.07,15.06,6.92,12,12.0,24.0,12.08
ELECTRONICS,PREMIUM,PREMIUM,GOLD,INTERNATIONAL,EXTENDED_WARRANTY,1,154.35,154.35,1,7,0,1,73.35,14.89,12.1,8.69,11,12.0,24.0,2.61
HARDWARE,ECONOMY,MEDIUM,SILVER,EUROPE,NONE,1,40.27,40.27,1,3,1,0,0.0,8.53,9.94,7.06,12,8.0,18.0,3.01
HARDWARE,ENTERPRISE,PREMIUM,PLATINUM,INTERNATIONAL,EXTENDED_WARRANTY,500,287.9,143950.0,3,8,0,1,134.36,15.69,13.62,7.21,6,16.0,30.0,17.56
ELECTRONICS,PREMIUM,PREMIUM,GOLD,EUROPE,EXTENDED_WARRANTY,1,301.64,301.64,2,18,0,1,119.32,10.6,11.88,6.93,12,12.0,24.0,7.67
HARDWARE,ECONOMY,HIGH,SILVER,EUROPE,TRAINING_AND_SUPPORT,100,129.17,12917.0,2,6,0,1,178.7,7.48,9.83,8.97,7,8.0,18.0,2.28
OFFICE_SUPPLIES,STANDARD,HIGH,SILVER,DOMESTIC,PREMIUM_SLA,5,115.83,579.15,2,22,0,2,195.78,10.3,6.49,8.91,4,8.0,18.0,9.74
SOFTWARE,ECONOMY,HIGH,STANDARD,DOMESTIC,NONE,5,102.9,514.5,4,23,0,0,0.0,5.48,6.37,11.05,10,5.0,12.0,11.85
INDUSTRIAL,ECONOMY,PREMIUM,PLATINUM,DOMESTIC,EXTENDED_WARRANTY,1,417.0,417.0,4,9,0,1,64.61,12.43,20.58,9.01,14,16.0,30.0,11.62
SOFTWARE,PREMIUM,PREMIUM,STANDARD,DOMESTIC,NONE,1,348.02,348.02,2,23,0,0,0.0,5.06,2.0,7.75,9,5.0,12.0,6.98
ELECTRONICS,ENTERPRISE,PREMIUM,SILVER,DOMESTIC,NONE,50,374.14,18707.0,1,13,0,0,0.0,8.61,8.82,7.65,9,8.0,18.0,3.02
FURNITURE,ENTERPRISE,PREMIUM,SILVER,EUROPE,EXTENDED_WARRANTY,2,244.05,488.1,3,12,0,1,103.82,7.15,7.08,5.79,5,8.0,18.0,4.56
INDUSTRIAL,STANDARD,PREMIUM,STANDARD,DOMESTIC,INSTALLATION,1,329.22,329.22,1,28,0,1,128.34,8.76,4.15,7.5,6,5.0,12.0,7.06
ELECTRONICS,STANDARD,HIGH,STANDARD,INTERNATIONAL,EXTENDED_WARRANTY,2,86.17,172.34,1,8,0,1,89.41,2.94,3.31,7.97,8,5.0,12.0,1.0
FURNITURE,PREMIUM,HIGH,SILVER,DOMESTIC,NONE,5,99.98,499.9,1,2,1,0,0.0,7.35,9.29,9.08,13,8.0,18.0,1.7
SOFTWARE,ECONOMY,PREMIUM,PLATINUM,DOMESTIC,WHITE_GLOVE,10,187.03,1870.3,2,25,0,2,185.82,17.94,17.78,9.01,10,16.0,30.0,17.44
ELECTRONICS,ENTERPRISE,PREMIUM,GOLD,EUROPE,NONE,5,441.48,2207.4,2,6,0,0,0.0,9.57,9.45,10.56,12,12.0,24.0,6.14
INDUSTRIAL,STANDARD,PREMIUM,SILVER,DOMESTIC,INSTALLATION,1,439.26,439.26,1,28,0,1,58.89,10.43,7.18,13.92,8,8.0,18.0,7.62
INDUSTRIAL,STANDARD,PREMIUM,STANDARD,EUROPE,EXTENDED_WARRANTY,10,363.85,3638.5,1,7,0,1,135.82,5.96,5.45,9.57,6,5.0,12.0,2.56
